Morton County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
191706,72.4,-1.8
191707,79.9,1.1
191708,74.5,-2.1
191709,68.8,-0.2
191710,52.2,-4.2
191711,46.7,2.7
191712,31.3,-3.2
191801,25.2,-9.2
191802,39.9,2.5
191803,49.0,3.1
191804,48.9,-5.1
191805,66.0,2.0
191806,77.2,3.0
191807,78.0,-0.8
191808,79.2,2.6
191809,64.0,-5.0
191810,58.5,2.1
191811,39.1,-4.9
191812,31.5,-3.0
191901,22.6,-11.8
191902,29.4,-8.0
191903,44.2,-1.7
191904,52.8,-1.2
191905,61.8,-2.2
191906,69.7,-4.5
191907,78.0,-0.8
191908,78.8,2.2
191909,72.8,3.8
191910,53.7,-2.7
191911,39.5,-4.5
191912,31.2,-3.3
192001,34.1,-0.3
192002,36.6,-0.8
192003,43.3,-2.6
192004,48.4,-5.6
192005,62.6,-1.4
192006,72.6,-1.6
192007,78.4,-0.4
192008,72.1,-4.5
192009,68.7,-0.3
192010,57.7,1.3
192011,40.0,-4.0
192012,34.4,-0.1
192101,36.6,2.2
192102,38.6,1.2
192103,48.4,2.5
192104,53.0,-1.0
192105,63.4,-0.6
192106,72.3,-1.9
192107,77.7,-1.1
192108,77.6,1.0
192109,73.5,4.5
192110,59.4,3.0
192111,43.9,-0.1
192112,34.2,-0.3
192201,29.0,-5.4
192202,36.0,-1.4
192203,40.5,-5.4
192204,52.4,-1.6
192205,62.8,-1.2
192206,74.3,0.1
192207,78.6,-0.2
192208,80.2,3.6
192209,73.1,4.1
192210,57.2,0.8
192211,43.2,-0.8
192212,35.0,0.5
192301,39.0,4.6
192302,31.9,-5.5
192303,39.6,-6.3
192304,54.1,0.1
192305,61.2,-2.8
192306,72.3,-1.9
192307,78.9,0.1
192308,77.6,1.0
192309,68.3,-0.7
192310,50.5,-5.9
192311,42.2,-1.8
192312,31.8,-2.7
192401,29.5,-4.9
192402,37.7,0.3
192403,32.5,-13.4
192404,53.3,-0.7
192405,57.1,-6.9
192406,75.4,1.2
192407,77.2,-1.6
192408,79.6,3.0
192409,66.9,-2.1
192410,58.8,2.4
192411,45.2,1.2
192412,23.6,-10.9
192501,29.0,-5.4
192502,40.8,3.4
192503,49.1,3.2
192504,57.8,3.8
192505,66.4,2.4
192506,78.0,3.8
192507,80.0,1.2
192508,75.8,-0.8
192509,70.0,1.0
192510,49.5,-6.9
192511,41.6,-2.4
192512,33.8,-0.7
192601,33.6,-0.8
192602,42.9,5.5
192603,41.4,-4.5
192604,48.7,-5.3
192605,63.6,-0.4
192606,73.1,-1.1
192607,77.5,-1.3
192608,78.0,1.4
192609,71.6,2.6
192610,59.4,3.0
192611,42.4,-1.6
192612,31.6,-2.9
192701,35.8,1.4
192702,39.4,2.0
192703,43.1,-2.8
192704,57.2,3.2
192705,68.3,4.3
192706,72.4,-1.8
192707,77.3,-1.5
192708,72.5,-4.1
192709,69.0,0.0
192710,59.3,2.9
192711,47.0,3.0
192712,29.2,-5.3
192801,37.3,2.9
192802,37.1,-0.3
192803,46.7,0.8
192804,51.7,-2.3
192805,63.2,-0.8
192806,68.2,-6.0
192807,78.4,-0.4
192808,75.5,-1.1
192809,68.8,-0.2
192810,56.9,0.5
192811,42.2,-1.8
192812,34.8,0.3
192901,29.0,-5.4
192902,26.7,-10.7
192903,45.0,-0.9
192904,55.7,1.7
192905,61.7,-2.3
192906,73.2,-1.0
192907,78.6,-0.2
192908,78.1,1.5
192909,67.0,-2.0
192910,55.8,-0.6
192911,33.0,-11.0
192912,36.3,1.8
193001,19.9,-14.5
193002,46.0,8.6
193003,41.4,-4.5
193004,59.4,5.4
193005,62.4,-1.6
193006,75.3,1.1
193007,80.3,1.5
193008,78.2,1.6
193009,69.8,0.8
193010,54.7,-1.7
193011,43.8,-0.2
193012,32.2,-2.3
193101,35.8,1.4
193102,42.1,4.7
193103,39.5,-6.4
193104,51.8,-2.2
193105,60.6,-3.4
193106,77.1,2.9
193107,79.5,0.7
193108,75.5,-1.1
193109,75.9,6.9
193110,60.0,3.6
193111,41.6,-2.4
193112,35.5,1.0
193201,29.4,-5.0
193202,43.3,5.9
193203,37.6,-8.3
193204,56.0,2.0
193205,65.9,1.9
193206,71.8,-2.4
193207,82.3,3.5
193208,78.5,1.9
193209,67.4,-1.6
193210,53.7,-2.7
193211,42.7,-1.3
193212,26.2,-8.3
