Kearny County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
191705,55.3,-7.9
191706,70.9,-2.6
191707,77.7,-0.9
191708,72.7,-3.6
191709,67.7,-0.9
191710,49.3,-6.1
191711,45.0,2.7
191712,27.7,-4.9
191801,21.4,-10.8
191802,37.0,1.8
191803,47.0,2.5
191804,46.7,-6.2
191805,64.4,1.2
191806,76.2,2.7
191807,76.1,-2.5
191808,77.9,1.6
191809,62.3,-6.3
191810,57.5,2.1
191811,37.5,-4.8
191812,29.2,-3.4
191901,21.2,-11.0
191902,25.8,-9.4
191903,41.1,-3.4
191904,50.4,-2.5
191905,60.4,-2.8
191906,68.9,-4.6
191907,76.9,-1.7
191908,76.8,0.5
191909,71.3,2.7
191910,50.2,-5.2
191911,36.4,-5.9
191912,27.3,-5.3
192001,31.6,-0.6
192002,33.9,-1.3
192003,41.9,-2.6
192004,46.7,-6.2
192005,60.8,-2.4
192006,71.4,-2.1
192007,76.8,-1.8
192008,70.9,-5.4
192009,67.4,-1.2
192010,57.5,2.1
192011,37.5,-4.8
192012,31.0,-1.6
192101,33.8,1.6
192102,36.4,1.2
192103,47.8,3.3
192104,51.4,-1.5
192105,62.3,-0.9
192106,71.0,-2.5
192107,77.0,-1.6
192108,76.6,0.3
192109,71.8,3.2
192110,57.3,1.9
192111,41.3,-1.0
192112,29.4,-3.2
192201,25.7,-6.5
192202,32.5,-2.7
192203,38.9,-5.6
192204,50.5,-2.4
192205,61.6,-1.6
192206,73.0,-0.5
192207,76.8,-1.8
192208,78.7,2.4
192209,72.0,3.4
192210,55.8,0.4
192211,41.8,-0.5
192212,31.9,-0.7
192301,35.2,3.0
192302,29.4,-5.8
192303,38.0,-6.5
192304,52.4,-0.5
192305,59.4,-3.8
192306,70.7,-2.8
192307,77.0,-1.6
192308,74.2,-2.1
192309,66.2,-2.4
192310,48.5,-6.9
192311,41.5,-0.8
192312,29.6,-3.0
192401,26.0,-6.2
192402,34.6,-0.6
192403,29.5,-15.0
192404,52.0,-0.9
192405,55.8,-7.4
192406,73.0,-0.5
192407,75.3,-3.3
192408,77.2,0.9
192409,64.2,-4.4
192410,56.0,0.6
192411,42.5,0.2
192412,20.6,-12.0
192501,23.9,-8.3
192502,39.0,3.8
192503,47.0,2.5
192504,56.4,3.5
192505,63.8,0.6
192506,77.0,3.5
192507,78.8,0.2
192508,74.9,-1.4
192509,68.7,0.1
192510,46.7,-8.7
192511,37.5,-4.8
192512,31.5,-1.1
192601,30.5,-1.7
192602,39.9,4.7
192603,39.3,-5.2
192604,47.5,-5.4
192605,63.5,0.3
192606,72.2,-1.3
192607,77.1,-1.5
192608,77.2,0.9
192609,68.3,-0.3
192610,56.8,1.4
192611,38.5,-3.8
192612,26.7,-5.9
192701,30.6,-1.6
192702,35.9,0.7
192703,40.2,-4.3
192704,55.1,2.2
192705,66.3,3.1
192706,70.5,-3.0
192707,76.5,-2.1
192708,71.2,-5.1
192709,67.9,-0.7
192710,57.0,1.6
192711,43.4,1.1
192712,24.7,-7.9
192801,34.0,1.8
192802,33.9,-1.3
192803,43.4,-1.1
192804,49.7,-3.2
192805,62.1,-1.1
192806,65.4,-8.1
192807,75.8,-2.8
192808,73.8,-2.5
192809,66.3,-2.3
192810,53.8,-1.6
192811,39.7,-2.6
192812,31.6,-1.0
192901,24.9,-7.3
192902,23.1,-12.1
192903,43.6,-0.9
192904,53.8,0.9
192905,60.6,-2.6
192906,71.8,-1.7
192907,78.4,-0.2
192908,76.5,0.2
192909,64.9,-3.7
192910,54.0,-1.4
192911,30.6,-11.7
192912,33.0,0.4
193001,16.9,-15.3
193002,43.3,8.1
193003,39.2,-5.3
193004,56.9,4.0
193005,60.1,-3.1
193006,73.4,-0.1
193007,79.0,0.4
193008,77.0,0.7
193009,67.0,-1.6
193010,52.1,-3.3
193011,41.2,-1.1
193012,30.4,-2.2
193101,33.0,0.8
193102,39.5,4.3
193103,37.0,-7.5
193104,50.5,-2.4
193105,59.0,-4.2
193106,76.8,3.3
193107,77.9,-0.7
193108,74.5,-1.8
193109,74.6,6.0
193110,58.1,2.7
193111,39.6,-2.7
193112,33.1,0.5
193201,25.8,-6.4
193202,39.5,4.3
193203,35.6,-8.9
193204,54.9,2.0
193205,64.9,1.7
193206,70.6,-2.9
193207,80.6,2.0
193208,77.8,1.5
193209,66.1,-2.5
193210,51.8,-3.6
193211,40.6,-1.7
193212,23.5,-9.1
193301,34.5,2.3
193302,29.8,-5.4
193303,45.2,0.7
193304,51.4,-1.5
193305,61.9,-1.3
193306,78.3,4.8
193307,80.3,1.7
193308,75.0,-1.3
193309,72.2,3.6
193310,56.0,0.6
193311,43.9,1.6
193312,38.3,5.7
193401,35.2,3.0
193402,35.3,0.1
193403,43.3,-1.2
193404,55.4,2.5
193405,68.9,5.7
193406,78.0,4.5
193407,84.7,6.1
193408,80.4,4.1
193409,65.1,-3.5
193410,59.2,3.8
193411,44.4,2.1
193412,32.6,0.0
193501,35.2,3.0
193502,38.0,2.8
193503,48.2,3.7
193504,51.5,-1.4
193505,57.0,-6.2
193506,72.5,-1.0
193507,82.3,3.7
193508,79.5,3.2
193509,67.6,-1.0
193510,55.4,0.0
193511,37.7,-4.6
193512,32.8,0.2
193601,27.6,-4.6
193602,23.4,-11.8
193603,44.8,0.3
193604,52.9,0.0
193605,64.9,1.7
193606,75.4,1.9
193607,81.5,2.9
193608,80.6,4.3
193609,68.4,-0.2
193610,52.8,-2.6
193611,41.3,-1.0
193612,34.9,2.3
193701,20.2,-12.0
193702,33.6,-1.6
193703,38.7,-5.8
