Gray County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
191706,72.2,-1.8
191707,79.6,0.6
191708,72.9,-4.1
191709,67.7,-1.3
191710,49.4,-6.7
191711,45.8,2.9
191712,25.9,-7.0
191801,21.7,-10.6
191802,36.7,1.4
191803,47.6,2.7
191804,47.4,-6.2
191805,66.0,2.1
191806,76.6,2.6
191807,77.0,-2.0
191808,79.3,2.3
191809,62.0,-7.0
191810,57.7,1.6
191811,39.1,-3.8
191812,30.8,-2.1
191901,25.6,-6.7
191902,29.3,-6.0
191903,41.9,-3.0
191904,51.3,-2.3
191905,60.0,-3.9
191906,69.4,-4.6
191907,77.9,-1.1
191908,77.6,0.6
191909,71.6,2.6
191910,51.2,-4.9
191911,37.3,-5.6
191912,27.7,-5.2
192001,31.4,-0.9
192002,34.5,-0.8
192003,42.9,-2.0
192004,48.0,-5.6
192005,62.0,-1.9
192006,72.4,-1.6
192007,78.2,-0.8
192008,71.6,-5.4
192009,68.5,-0.5
192010,58.4,2.3
192011,38.5,-4.4
192012,33.1,0.2
192101,35.1,2.8
192102,36.7,1.4
192103,47.8,2.9
192104,52.7,-0.9
192105,63.2,-0.7
192106,72.5,-1.5
192107,77.7,-1.3
192108,77.6,0.6
192109,72.5,3.5
192110,59.3,3.2
192111,41.8,-1.1
192112,31.1,-1.8
192201,26.7,-5.6
192202,32.4,-2.9
192203,39.3,-5.6
192204,52.4,-1.2
192205,62.9,-1.0
192206,73.6,-0.4
192207,77.7,-1.3
192208,80.2,3.2
192209,73.3,4.3
192210,57.2,1.1
192211,43.7,0.8
192212,33.3,0.4
192301,36.4,4.1
192302,30.4,-4.9
192303,38.6,-6.3
192304,52.9,-0.7
192305,60.6,-3.3
192306,71.3,-2.7
192307,78.9,-0.1
192308,77.4,0.4
192309,68.7,-0.3
192310,49.9,-6.2
192311,42.4,-0.5
192312,31.8,-1.1
192401,27.0,-5.3
192402,35.4,0.1
192403,31.6,-13.3
192404,53.0,-0.6
192405,56.8,-7.1
192406,74.5,0.5
192407,76.5,-2.5
192408,78.9,1.9
192409,65.3,-3.7
192410,57.4,1.3
192411,43.7,0.8
192412,23.4,-9.5
192501,27.1,-5.2
192502,39.9,4.6
192503,47.7,2.8
192504,57.7,4.1
192505,63.8,-0.1
192506,77.7,3.7
192507,78.8,-0.2
192508,75.4,-1.6
192509,69.8,0.8
192510,46.9,-9.2
192511,39.9,-3.0
192512,31.8,-1.1
192601,31.7,-0.6
192602,39.9,4.6
192603,39.5,-5.4
192604,47.3,-6.3
192605,63.8,-0.1
192606,72.7,-1.3
192607,77.9,-1.1
192608,77.5,0.5
192609,67.9,-1.1
192610,58.1,2.0
192611,38.6,-4.3
192612,29.7,-3.2
192701,32.3,0.0
192702,36.8,1.5
192703,40.7,-4.2
192704,55.1,1.5
192705,65.3,1.4
192706,71.0,-3.0
192707,77.0,-2.0
192708,71.4,-5.6
192709,68.7,-0.3
192710,58.4,2.3
192711,44.1,1.2
192712,26.7,-6.2
192801,33.7,1.4
192802,35.1,-0.2
192803,44.1,-0.8
192804,49.8,-3.8
192805,62.4,-1.5
192806,66.2,-7.8
192807,76.7,-2.3
192808,74.4,-2.6
192809,67.0,-2.0
192810,55.6,-0.5
192811,40.8,-2.1
192812,33.9,1.0
192901,25.6,-6.7
192902,23.4,-11.9
192903,44.3,-0.6
192904,55.0,1.4
192905,60.5,-3.4
192906,73.2,-0.8
192907,78.1,-0.9
192908,78.2,1.2
192909,66.1,-2.9
192910,54.7,-1.4
192911,32.0,-10.9
192912,33.6,0.7
193001,17.7,-14.6
193002,44.6,9.3
193003,39.4,-5.5
193004,57.4,3.8
193005,60.8,-3.1
193006,74.0,0.0
193007,79.9,0.9
193008,78.4,1.4
