Date,Value,Anomaly
201112,1.31,-1.46
201201,2.29,-0.19
201202,2.03,0.25
201203,4.84,2.66
201204,2.49,0.79
201205,1.27,-0.56
201206,4.05,2.47
201207,1.43,0.83
201208,0.19,-0.42
201209,0.02,-0.69
201210,2.17,0.44
201211,3.78,1.28
201212,3.01,0.24
201301,1.86,-0.62
201302,1,-0.78
201303,1.06,-1.12
201304,1.55,-0.15
201305,1.2,-0.63
201306,2.99,1.41
201307,0.09,-0.51
201308,1.36,0.75
201309,2.34,1.63
201310,0.3,-1.43
201311,2.08,-0.42
201312,0.9,-1.87
201401,1.46,-1.02
201402,2.29,0.51
201403,3.54,1.36
201404,1.93,0.23
201405,0.97,-0.86
201406,2.57,0.99
201407,0.29,-0.31
201408,0.63,0.02
201409,0.45,-0.26
201410,1.59,-0.14
201411,2.03,-0.47
201412,2.8,0.03
201501,2.18,-0.3
201502,1.61,-0.17
201503,2.81,0.63
201504,1.02,-0.68
201505,1.2,-0.63
201506,0.41,-1.17
201507,0.29,-0.31
201508,0.26,-0.35
201509,0.48,-0.23
201510,1.4,-0.33
201511,1.47,-1.03
201512,5.08,2.31
201601,3.16,0.68
201602,1.26,-0.52
201603,3.94,1.76
201604,0.8,-0.9
201605,1.42,-0.41
201606,0.78,-0.8
201607,0.93,0.33
201608,0.24,-0.37
201609,0.49,-0.22
201610,6.77,5.04
201611,2.19,-0.31
201612,1.87,-0.9
201701,1.89,-0.59
201702,4.76,2.98
201703,4.52,2.34
201704,2.32,0.62
201705,1.63,-0.2
201706,1.1,-0.48
201707,0.01,-0.59
201708,0.03,-0.58
201709,1.2,0.49
201710,1.97,0.24
201711,3.46,0.96
201712,3.21,0.44
201801,3.11,0.63
201802,1.99,0.21
201803,1.6,-0.58
201804,2.94,1.24
201805,1.31,-0.52
201806,1.07,-0.51
201807,0.08,-0.52
201808,0.29,-0.32
201809,0.15,-0.56
201810,1.79,0.06
201811,2.43,-0.07
201812,2.97,0.2
201901,2.07,-0.41
201902,2.52,0.74
201903,0.8,-1.38
201904,2.08,0.38
201905,2.08,0.25
201906,0.61,-0.97
201907,0.45,-0.15
201908,0.72,0.11
201909,1.99,1.28
201910,1.68,-0.05
201911,0.8,-1.7
