Spokane County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201108,67.6,0.4
201109,62.3,3.5
201110,46.8,0.6
201111,34.3,-1.4
201112,29.0,0.4
201201,29.8,0.4
201202,32.9,0.8
201203,37.9,-1.1
201204,47.0,1.4
201205,51.8,-2.0
201206,57.4,-2.6
201207,69.3,1.2
201208,68.2,1.0
201209,60.6,1.8
201210,46.9,0.7
201211,38.5,2.8
201212,31.6,3.0
201301,25.2,-4.2
201302,33.5,1.4
201303,40.0,1.0
201304,44.6,-1.0
201305,54.6,0.8
201306,59.6,-0.4
201307,70.4,2.3
201308,69.0,1.8
201309,60.8,2.0
201310,44.3,-1.9
201311,34.5,-1.2
201312,25.9,-2.7
201401,30.5,1.1
201402,26.0,-6.1
201403,38.9,-0.1
201404,45.5,-0.1
201405,55.3,1.5
201406,59.1,-0.9
201407,72.3,4.2
201408,69.4,2.2
201409,60.6,1.8
201410,51.7,5.5
201411,34.1,-1.6
201412,32.6,4.0
201501,31.3,1.9
201502,38.9,6.8
201503,44.2,5.2
201504,45.9,0.3
201505,58.2,4.4
201506,68.4,8.4
201507,71.3,3.2
201508,69.5,2.3
201509,56.8,-2.0
201510,52.9,6.7
201511,34.7,-1.0
201512,30.9,2.3
201601,31.0,1.6
201602,38.6,6.5
201603,41.7,2.7
201604,52.9,7.3
201605,56.5,2.7
201606,62.0,2.0
201607,66.1,-2.0
201608,67.7,0.5
201609,57.3,-1.5
201610,47.2,1.0
201611,42.8,7.1
201612,23.2,-5.4
201701,21.0,-8.4
201702,29.9,-2.2
201703,39.7,0.7
201704,44.9,-0.7
201705,55.1,1.3
201706,61.9,1.9
201707,71.3,3.2
201708,70.6,3.4
201709,59.6,0.8
201710,45.2,-1.0
201711,37.2,1.5
201712,26.9,-1.7
201801,34.0,4.6
201802,29.8,-2.3
201803,38.5,-0.5
201804,45.2,-0.4
201805,59.5,5.7
201806,59.8,-0.2
201807,69.8,1.7
201808,67.8,0.6
201809,57.0,-1.8
201810,46.3,0.1
201811,36.6,0.9
201812,31.7,3.1
201901,31.2,1.8
201902,21.4,-10.7
201903,33.8,-5.2
201904,46.4,0.8
201905,56.9,3.1
201906,61.8,1.8
201907,66.4,-1.7
201908,68.7,1.5
201909,57.3,-1.5
201910,41.0,-5.2
201911,35.6,-0.1
