Okanogan County, Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201108,50.2,-0.2
201109,45.8,2.1
201110,34.1,0.5
201111,21.8,-3.2
201112,17.9,0.0
201201,15.2,-3.7
201202,20.5,0.7
201203,23.3,-2.0
201204,31.2,0.0
201205,36.2,-2.5
201206,42.0,-2.2
201207,51.0,0.3
201208,50.6,0.2
201209,44.4,0.7
201210,34.0,0.4
201211,27.8,2.8
201212,20.4,2.5
201301,16.5,-2.4
201302,21.3,1.5
201303,25.4,0.1
201304,30.5,-0.7
201305,38.9,0.2
201306,44.5,0.3
201307,51.9,1.2
201308,51.4,1.0
201309,46.1,2.4
201310,32.2,-1.4
201311,24.4,-0.6
201312,14.4,-3.5
201401,22.5,3.6
201402,14.6,-5.2
201403,25.0,-0.3
201404,30.8,-0.4
201405,39.3,0.6
201406,44.3,0.1
201407,54.3,3.6
201408,53.4,3.0
201409,45.1,1.4
201410,38.8,5.2
201411,22.8,-2.2
201412,21.6,3.7
201501,23.0,4.1
201502,27.5,7.7
201503,30.6,5.3
201504,30.6,-0.6
201505,41.3,2.6
201506,50.5,6.3
201507,53.8,3.1
201508,52.3,1.9
201509,41.8,-1.9
201510,38.9,5.3
201511,23.3,-1.7
201512,18.6,0.7
201601,21.7,2.8
201602,24.5,4.7
201603,28.2,2.9
201604,37.0,5.8
201605,41.5,2.8
201606,45.5,1.3
201607,50.1,-0.6
201608,50.9,0.5
201609,42.4,-1.3
201610,35.5,1.9
201611,32.2,7.2
201612,11.4,-6.5
201701,12.1,-6.8
201702,16.4,-3.4
201703,26.1,0.8
201704,31.0,-0.2
201705,39.2,0.5
201706,44.9,0.7
201707,52.6,1.9
201708,53.4,3.0
201709,44.8,1.1
201710,31.8,-1.8
201711,26.3,1.3
201712,17.0,-0.9
201801,22.9,4.0
201802,16.6,-3.2
201803,25.0,-0.3
201804,31.8,0.6
201805,44.2,5.5
201806,43.6,-0.6
201807,52.4,1.7
201808,51.5,1.1
201809,42.4,-1.3
201810,33.9,0.3
201811,26.4,1.4
201812,20.6,2.7
201901,21.4,2.5
201902,10.0,-9.8
201903,22.0,-3.3
201904,32.4,1.2
201905,42.1,3.4
201906,45.3,1.1
201907,50.3,-0.4
201908,52.2,1.8
201909,45.0,1.3
201910,29.7,-3.9
201911,25.4,0.4
