Spokane County, Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201108,51.0,-0.5
201109,45.8,1.7
201110,36.6,1.7
201111,26.0,-2.8
201112,22.6,-0.7
201201,22.8,-1.2
201202,26.0,1.3
201203,29.4,0.0
201204,35.6,1.2
201205,39.7,-1.9
201206,46.4,-0.8
201207,54.8,2.2
201208,51.4,-0.1
201209,43.8,-0.3
201210,35.9,1.0
201211,32.4,3.6
201212,27.1,3.8
201301,19.3,-4.7
201302,27.0,2.3
201303,29.8,0.4
201304,33.4,-1.0
201305,41.6,0.0
201306,47.4,0.2
201307,53.6,1.0
201308,53.8,2.3
201309,48.6,4.5
201310,32.0,-2.9
201311,27.5,-1.3
201312,20.0,-3.3
201401,25.8,1.8
201402,19.0,-5.7
201403,29.1,-0.3
201404,33.7,-0.7
201405,42.1,0.5
201406,46.3,-0.9
201407,56.6,4.0
201408,54.4,2.9
201409,45.9,1.8
201410,40.6,5.7
201411,26.3,-2.5
201412,27.1,3.8
201501,26.4,2.4
201502,30.4,5.7
201503,33.1,3.7
201504,33.1,-1.3
201505,45.1,3.5
201506,53.0,5.8
201507,56.1,3.5
201508,53.7,2.2
201509,42.8,-1.3
201510,40.8,5.9
201511,27.2,-1.6
201512,26.0,2.7
201601,26.2,2.2
201602,30.8,6.1
201603,32.3,2.9
201604,39.8,5.4
201605,44.5,2.9
201606,48.1,0.9
201607,51.7,-0.9
201608,51.4,-0.1
201609,43.3,-0.8
201610,39.5,4.6
201611,36.0,7.2
201612,16.9,-6.4
201701,14.3,-9.7
201702,22.6,-2.1
201703,32.1,2.7
201704,35.0,0.6
201705,42.8,1.2
201706,48.3,1.1
201707,54.2,1.6
201708,53.7,2.2
201709,46.1,2.0
201710,33.9,-1.0
201711,31.1,2.3
201712,21.9,-1.4
201801,29.2,5.2
201802,22.2,-2.5
201803,28.8,-0.6
201804,34.6,0.2
201805,47.4,5.8
201806,47.2,0.0
201807,53.4,0.8
201808,52.5,1.0
201809,43.4,-0.7
201810,34.4,-0.5
201811,30.0,1.2
201812,26.8,3.5
201901,26.1,2.1
201902,14.1,-10.6
201903,22.6,-6.8
201904,36.1,1.7
201905,44.8,3.2
201906,48.8,1.6
201907,52.0,-0.6
201908,53.7,2.2
201909,45.9,1.8
201910,30.2,-4.7
201911,27.5,-1.3
