Lincoln County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
200811,45.1,2.0
200812,27.3,-5.7
200901,30.1,-3.5
200902,35.8,-3.8
200903,43.9,-6.0
200904,57.7,-1.2
200905,69.2,1.0
200906,77.2,1.9
200907,87.4,2.0
200908,84.3,-0.2
200909,78.8,3.4
200910,53.6,-5.6
200911,43.8,0.7
200912,29.3,-3.7
201001,39.5,5.9
201002,45.0,5.4
201003,52.6,2.7
201004,58.0,-0.9
201005,63.4,-4.8
201006,70.5,-4.8
201007,84.1,-1.3
201008,82.0,-2.5
201009,71.6,-3.8
201010,60.4,1.2
201011,39.9,-3.2
201012,33.7,0.7
201101,33.9,0.3
201102,36.9,-2.7
201103,47.8,-2.1
201104,52.0,-6.9
201105,63.3,-4.9
201106,71.2,-4.1
201107,80.0,-5.4
201108,85.3,0.8
201109,79.9,4.5
201110,58.3,-0.9
201111,43.3,0.2
201112,33.2,0.2
201201,35.1,1.5
201202,40.4,0.8
201203,48.1,-1.8
201204,60.1,1.2
201205,66.4,-1.8
201206,70.8,-4.5
201207,86.0,0.6
201208,86.8,2.3
201209,78.8,3.4
201210,60.0,0.8
201211,43.9,0.8
201212,36.1,3.1
201301,28.5,-5.1
201302,39.8,0.2
201303,50.5,0.6
201304,58.6,-0.3
201305,68.8,0.6
201306,73.6,-1.7
201307,88.9,3.5
201308,85.4,0.9
201309,75.4,0.0
201310,58.9,-0.3
201311,42.2,-0.9
201312,30.5,-2.5
201401,33.8,0.2
201402,33.2,-6.4
201403,50.4,0.5
201404,59.1,0.2
201405,70.8,2.6
201406,75.3,0.0
201407,89.9,4.5
201408,86.2,1.7
201409,76.5,1.1
201410,63.6,4.4
201411,42.5,-0.6
201412,37.8,4.8
201501,34.5,0.9
201502,48.0,8.4
201503,56.6,6.7
201504,59.9,1.0
201505,72.0,3.8
201506,85.4,10.1
201507,88.1,2.7
201508,86.4,1.9
201509,71.5,-3.9
201510,65.5,6.3
201511,43.1,0.0
201512,34.4,1.4
201601,33.9,0.3
201602,46.3,6.7
201603,52.1,2.2
201604,66.6,7.7
201605,70.2,2.0
201606,77.5,2.2
201607,82.0,-3.4
201608,85.5,1.0
201609,72.3,-3.1
201610,56.3,-2.9
201611,50.4,7.3
201612,28.2,-4.8
201701,24.9,-8.7
201702,34.2,-5.4
201703,47.8,-2.1
201704,56.4,-2.5
