Spokane County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201109,78.8,5.3
201110,56.9,-0.5
201111,42.6,0.0
201112,35.3,1.4
201201,36.9,2.1
201202,39.8,0.3
201203,46.4,-2.1
201204,58.3,1.5
201205,64.0,-2.0
201206,68.4,-4.3
201207,83.8,0.2
201208,85.0,2.2
201209,77.4,3.9
201210,57.9,0.5
201211,44.5,1.9
201212,36.0,2.1
201301,31.1,-3.7
201302,40.0,0.5
201303,50.2,1.7
201304,55.9,-0.9
201305,67.6,1.6
201306,71.8,-0.9
201307,87.3,3.7
201308,84.1,1.3
201309,73.1,-0.4
201310,56.5,-0.9
201311,41.6,-1.0
201312,31.7,-2.2
201401,35.2,0.4
201402,33.0,-6.5
201403,48.6,0.1
201404,57.3,0.5
201405,68.4,2.4
201406,71.9,-0.8
201407,88.0,4.4
201408,84.4,1.6
201409,75.2,1.7
201410,62.7,5.3
201411,41.8,-0.8
201412,38.2,4.3
201501,36.2,1.4
201502,47.3,7.8
201503,55.3,6.8
201504,58.6,1.8
201505,71.2,5.2
201506,83.8,11.1
201507,86.5,2.9
201508,85.3,2.5
201509,70.8,-2.7
201510,64.9,7.5
201511,42.2,-0.4
201512,35.8,1.9
201601,35.7,0.9
201602,46.4,6.9
201603,51.1,2.6
201604,66.0,9.2
201605,68.5,2.5
201606,76.0,3.3
201607,80.4,-3.2
201608,84.0,1.2
201609,71.2,-2.3
201610,55.0,-2.4
201611,49.7,7.1
201612,29.6,-4.3
201701,27.8,-7.0
201702,37.1,-2.4
201703,47.3,-1.2
201704,54.8,-2.0
201705,67.4,1.4
201706,75.4,2.7
201707,88.3,4.7
201708,87.6,4.8
201709,73.1,-0.4
201710,56.6,-0.8
201711,43.3,0.7
201712,31.8,-2.1
201801,38.7,3.9
201802,37.4,-2.1
201803,48.2,-0.3
201804,55.7,-1.1
201805,71.7,5.7
201806,72.5,-0.2
201807,86.2,2.6
201808,83.0,0.2
201809,70.5,-3.0
201810,58.2,0.8
201811,43.3,0.7
201812,36.7,2.8
201901,36.2,1.4
201902,28.6,-10.9
201903,45.1,-3.4
201904,56.7,-0.1
201905,68.9,2.9
201906,74.8,2.1
201907,80.8,-2.8
201908,83.6,0.8
201909,68.8,-4.7
201910,51.7,-5.7
201911,43.5,0.9
