Skagit County, Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201108,49.9,-1.2
201109,48.4,1.5
201110,40.6,0.7
201111,30.1,-3.6
201112,28.0,-1.0
201201,28.2,-1.6
201202,30.9,1.4
201203,29.8,-1.9
201204,35.6,0.0
201205,38.8,-2.2
201206,43.3,-2.4
201207,50.2,-0.2
201208,51.8,0.7
201209,46.5,-0.4
201210,39.7,-0.2
201211,35.0,1.3
201212,30.3,1.3
201301,27.7,-2.1
201302,31.6,2.1
201303,31.5,-0.2
201304,35.3,-0.3
201305,41.2,0.2
201306,46.5,0.8
201307,50.0,-0.4
201308,52.6,1.5
201309,49.9,3.0
201310,38.5,-1.4
201311,33.3,-0.4
201312,26.3,-2.7
201401,31.7,1.9
201402,26.5,-3.0
201403,32.3,0.6
201404,35.4,-0.2
201405,42.9,1.9
201406,45.1,-0.6
201407,51.7,1.3
201408,53.6,2.5
201409,48.8,1.9
201410,45.8,5.9
201411,32.5,-1.2
201412,31.5,2.5
201501,33.0,3.2
201502,35.5,6.0
201503,35.7,4.0
201504,35.3,-0.3
201505,44.5,3.5
201506,48.9,3.2
201507,53.3,2.9
201508,52.0,0.9
201509,45.8,-1.1
201510,44.1,4.2
201511,31.7,-2.0
201512,30.7,1.7
201601,30.7,0.9
201602,34.6,5.1
201603,34.6,2.9
201604,40.2,4.6
201605,43.4,2.4
201606,46.5,0.8
201607,51.2,0.8
201608,51.7,0.6
201609,46.4,-0.5
201610,42.0,2.1
201611,39.1,5.4
201612,24.8,-4.2
201701,23.4,-6.4
201702,27.9,-1.6
201703,32.5,0.8
201704,36.6,1.0
201705,41.0,0.0
201706,46.0,0.3
201707,49.4,-1.0
201708,52.2,1.1
201709,48.6,1.7
201710,38.4,-1.5
201711,34.6,0.9
201712,28.2,-0.8
201801,33.0,3.2
201802,27.3,-2.2
201803,30.9,-0.8
201804,36.2,0.6
201805,43.7,2.7
201806,45.6,-0.1
201807,51.8,1.4
201808,52.2,1.1
201809,46.3,-0.6
201810,39.6,-0.3
201811,35.6,1.9
201812,30.0,1.0
201901,31.6,1.8
201902,21.8,-7.7
201903,29.3,-2.4
201904,36.0,0.4
201905,42.9,1.9
201906,46.2,0.5
201907,50.9,0.5
201908,52.9,1.8
201909,49.2,2.3
201910,36.6,-3.3
201911,33.7,0.0
