Skagit County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201109,68.0,2.7
201110,51.5,-1.8
201111,41.2,-2.0
201112,38.8,1.3
201201,37.5,-1.3
201202,41.5,-0.3
201203,41.9,-4.3
201204,53.1,0.2
201205,57.8,-1.6
201206,58.3,-5.4
201207,69.3,-1.7
201208,73.4,1.8
201209,68.4,3.1
201210,53.3,0.0
201211,43.5,0.3
201212,36.4,-1.1
201301,36.9,-1.9
201302,40.8,-1.0
201303,46.8,0.6
201304,51.0,-1.9
201305,60.5,1.1
201306,64.0,0.3
201307,74.2,3.2
201308,71.9,0.3
201309,64.3,-1.0
201310,53.7,0.4
201311,42.8,-0.4
201312,36.0,-1.5
201401,41.2,2.4
201402,36.5,-5.3
201403,45.2,-1.0
201404,52.4,-0.5
201405,60.8,1.4
201406,63.7,0.0
201407,73.6,2.6
201408,73.4,1.8
201409,66.7,1.4
201410,56.1,2.8
201411,43.7,0.5
201412,40.2,2.7
201501,42.8,4.0
201502,47.3,5.5
201503,51.8,5.6
201504,53.4,0.5
201505,62.9,3.5
201506,72.1,8.4
201507,75.3,4.3
201508,73.5,1.9
201509,61.9,-3.4
201510,57.2,3.9
201511,41.3,-1.9
201512,37.8,0.3
201601,38.6,-0.2
201602,45.6,3.8
201603,48.1,1.9
201604,59.0,6.1
201605,61.5,2.1
201606,65.3,1.6
201607,68.0,-3.0
201608,73.8,2.2
201609,62.9,-2.4
201610,51.6,-1.7
201611,46.5,3.3
201612,32.7,-4.8
201701,34.4,-4.4
201702,39.0,-2.8
201703,42.8,-3.4
201704,50.5,-2.4
201705,60.8,1.4
201706,64.9,1.2
201707,73.2,2.2
201708,76.0,4.4
201709,67.9,2.6
201710,52.4,-0.9
201711,42.2,-1.0
201712,36.9,-0.6
201801,40.4,1.6
201802,37.6,-4.2
201803,45.4,-0.8
201804,52.2,-0.7
201805,64.7,5.3
201806,63.6,-0.1
201807,75.2,4.2
201808,72.9,1.3
201809,62.8,-2.5
201810,54.4,1.1
201811,44.7,1.5
201812,38.7,1.2
201901,41.6,2.8
201902,34.1,-7.7
201903,49.5,3.3
201904,52.4,-0.5
201905,63.3,3.9
201906,65.7,2.0
201907,69.2,-1.8
201908,72.3,0.7
201909,62.4,-2.9
201910,50.3,-3.0
201911,45.8,2.6
