Whitman County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
201109,81.8,5.4
201110,59.7,-1.1
201111,45.9,-0.2
201112,38.6,1.6
201201,40.4,2.3
201202,43.5,0.8
201203,49.4,-2.1
201204,60.8,1.5
201205,66.5,-1.6
201206,71.4,-3.7
201207,86.2,0.2
201208,88.3,2.7
201209,79.8,3.4
201210,60.7,-0.1
201211,48.0,1.9
201212,38.8,1.8
201301,33.0,-5.1
201302,44.0,1.3
201303,52.9,1.4
201304,58.0,-1.3
201305,70.0,1.9
201306,74.8,-0.3
201307,89.9,3.9
201308,87.4,1.8
201309,75.9,-0.5
201310,59.8,-1.0
201311,44.8,-1.3
201312,34.9,-2.1
201401,37.8,-0.3
201402,35.7,-7.0
201403,51.8,0.3
201404,59.6,0.3
201405,70.8,2.7
201406,74.8,-0.3
201407,91.2,5.2
201408,87.6,2.0
201409,78.6,2.2
201410,66.4,5.6
201411,44.9,-1.2
201412,40.8,3.8
201501,40.0,1.9
201502,50.3,7.6
201503,57.9,6.4
201504,60.8,1.5
201505,72.5,4.4
201506,85.9,10.8
201507,88.8,2.8
201508,87.9,2.3
201509,73.4,-3.0
201510,68.8,8.0
201511,43.7,-2.4
201512,38.2,1.2
201601,39.0,0.9
201602,49.7,7.0
201603,53.1,1.6
201604,67.3,8.0
201605,70.0,1.9
201606,78.5,3.4
201607,82.9,-3.1
201608,86.7,1.1
201609,73.2,-3.2
201610,58.5,-2.3
201611,53.0,6.9
201612,31.9,-5.1
201701,29.0,-9.1
201702,41.0,-1.7
201703,50.8,-0.7
201704,57.4,-1.9
201705,69.5,1.4
201706,77.3,2.2
201707,90.6,4.6
201708,90.0,4.4
201709,75.7,-0.7
201710,59.2,-1.6
201711,47.2,1.1
201712,33.8,-3.2
201801,42.2,4.1
201802,39.7,-3.0
201803,50.0,-1.5
201804,58.5,-0.8
201805,72.4,4.3
201806,73.6,-1.5
201807,87.7,1.7
201808,85.0,-0.6
201809,72.4,-4.0
201810,60.4,-0.4
201811,46.4,0.3
201812,38.7,1.7
201901,39.1,1.0
201902,31.3,-11.4
201903,44.6,-6.9
201904,58.1,-1.2
201905,70.0,1.9
201906,76.2,1.1
201907,82.6,-3.4
201908,85.2,-0.4
201909,72.8,-3.6
201910,54.5,-6.3
201911,47.7,1.6
